,mpg,cyl,displ,hp,weight,accel,yr,origin,name,mfr
30,28.0,4,140.0,90,2264,15.5,71,North America,chevrolet vega 2300,chevrolet
31,25.0,4,113.0,95,2228,14.0,71,Asia,toyota corona,toyota
32,19.0,6,232.0,100,2634,13.0,71,North America,amc gremlin,amc
33,16.0,6,225.0,105,3439,15.5,71,North America,plymouth satellite custom,plymouth
34,17.0,6,250.0,100,3329,15.5,71,North America,chevrolet chevelle malibu,chevrolet
35,19.0,6,250.0,88,3302,15.5,71,North America,ford torino 500,ford
36,18.0,6,232.0,100,3288,15.5,71,North America,amc matador,amc
37,14.0,8,350.0,165,4209,12.0,71,North America,chevrolet impala,chevrolet
38,14.0,8,400.0,175,4464,11.5,71,North America,pontiac catalina brougham,pontiac
39,14.0,8,351.0,153,4154,13.5,71,North America,ford galaxie 500,ford
40,14.0,8,318.0,150,4096,13.0,71,North America,plymouth fury iii,plymouth
41,12.0,8,383.0,180,4955,11.5,71,North America,dodge monaco (sw),dodge
42,13.0,8,400.0,170,4746,12.0,71,North America,ford country squire (sw),ford
43,13.0,8,400.0,175,5140,12.0,71,North America,pontiac safari (sw),pontiac
44,18.0,6,258.0,110,2962,13.5,71,North America,amc hornet sportabout (sw),amc
45,22.0,4,140.0,72,2408,19.0,71,North America,chevrolet vega (sw),chevrolet
46,19.0,6,250.0,100,3282,15.0,71,North America,pontiac firebird,pontiac
47,18.0,6,250.0,88,3139,14.5,71,North America,ford mustang,ford
48,23.0,4,122.0,86,2220,14.0,71,North America,mercury capri 2000,mercury
49,28.0,4,116.0,90,2123,14.0,71,Europe,opel 1900,opel
50,30.0,4,79.0,70,2074,19.5,71,Europe,peugeot 304,peugeot
51,30.0,4,88.0,76,2065,14.5,71,Europe,fiat 124b,fiat
52,31.0,4,71.0,65,1773,19.0,71,Asia,toyota corolla 1200,toyota
53,35.0,4,72.0,69,1613,18.0,71,Asia,datsun 1200,datsun
54,27.0,4,97.0,60,1834,19.0,71,Europe,volkswagen model 111,volkswagen
55,26.0,4,91.0,70,1955,20.5,71,North America,plymouth cricket,plymouth
56,24.0,4,113.0,95,2278,15.5,72,Asia,toyota corona hardtop,toyota
57,25.0,4,97.5,80,2126,17.0,72,North America,dodge colt hardtop,dodge
58,23.0,4,97.0,54,2254,23.5,72,Europe,volkswagen type 3,volkswagen
59,20.0,4,140.0,90,2408,19.5,72,North America,chevrolet vega,chevrolet
60,21.0,4,122.0,86,2226,16.5,72,North America,ford pinto runabout,ford
61,13.0,8,350.0,165,4274,12.0,72,North America,chevrolet impala,chevrolet
62,14.0,8,400.0,175,4385,12.0,72,North America,pontiac catalina,pontiac
63,15.0,8,318.0,150,4135,13.5,72,North America,plymouth fury iii,plymouth
64,14.0,8,351.0,153,4129,13.0,72,North America,ford galaxie 500,ford
65,17.0,8,304.0,150,3672,11.5,72,North America,amc ambassador sst,amc
66,11.0,8,429.0,208,4633,11.0,72,North America,mercury marquis,mercury
67,13.0,8,350.0,155,4502,13.5,72,North America,buick lesabre custom,buick
68,12.0,8,350.0,160,4456,13.5,72,North America,oldsmobile delta 88 royale,oldsmobile
69,13.0,8,400.0,190,4422,12.5,72,North America,chrysler newport royal,chrysler
70,19.0,3,70.0,97,2330,13.5,72,Asia,mazda rx2 coupe,mazda
71,15.0,8,304.0,150,3892,12.5,72,North America,amc matador (sw),amc
72,13.0,8,307.0,130,4098,14.0,72,North America,chevrolet chevelle concours (sw),chevrolet
73,13.0,8,302.0,140,4294,16.0,72,North America,ford gran torino (sw),ford
74,14.0,8,318.0,150,4077,14.0,72,North America,plymouth satellite custom (sw),plymouth
75,18.0,4,121.0,112,2933,14.5,72,Europe,volvo 145e (sw),volvo
76,22.0,4,121.0,76,2511,18.0,72,Europe,volkswagen 411 (sw),volkswagen
77,21.0,4,120.0,87,2979,19.5,72,Europe,peugeot 504 (sw),peugeot
78,26.0,4,96.0,69,2189,18.0,72,Europe,renault 12 (sw),renault
79,22.0,4,122.0,86,2395,16.0,72,North America,ford pinto (sw),ford
80,28.0,4,97.0,92,2288,17.0,72,Asia,datsun 510 (sw),datsun
81,23.0,4,120.0,97,2506,14.5,72,Asia,toyouta corona mark ii (sw),toyota
82,28.0,4,98.0,80,2164,15.0,72,North America,dodge colt (sw),dodge
83,27.0,4,97.0,88,2100,16.5,72,Asia,toyota corolla 1600 (sw),toyota
84,13.0,8,350.0,175,4100,13.0,73,North America,buick century 350,buick
85,14.0,8,304.0,150,3672,11.5,73,North America,amc matador,amc
86,13.0,8,350.0,145,3988,13.0,73,North America,chevrolet malibu,chevrolet
87,14.0,8,302.0,137,4042,14.5,73,North America,ford gran torino,ford
88,15.0,8,318.0,150,3777,12.5,73,North America,dodge coronet custom,dodge
89,12.0,8,429.0,198,4952,11.5,73,North America,mercury marquis brougham,mercury
90,13.0,8,400.0,150,4464,12.0,73,North America,chevrolet caprice classic,chevrolet
91,13.0,8,351.0,158,4363,13.0,73,North America,ford ltd,ford
92,14.0,8,318.0,150,4237,14.5,73,North America,plymouth fury gran sedan,plymouth
93,13.0,8,440.0,215,4735,11.0,73,North America,chrysler new yorker brougham,chrysler
94,12.0,8,455.0,225,4951,11.0,73,North America,buick electra 225 custom,buick
95,13.0,8,360.0,175,3821,11.0,73,North America,amc ambassador brougham,amc
96,18.0,6,225.0,105,3121,16.5,73,North America,plymouth valiant,plymouth
97,16.0,6,250.0,100,3278,18.0,73,North America,chevrolet nova custom,chevrolet
98,18.0,6,232.0,100,2945,16.0,73,North America,amc hornet,amc
99,18.0,6,250.0,88,3021,16.5,73,North America,ford maverick,ford
100,23.0,6,198.0,95,2904,16.0,73,North America,plymouth duster,plymouth
101,26.0,4,97.0,46,1950,21.0,73,Europe,volkswagen super beetle,volkswagen
102,11.0,8,400.0,150,4997,14.0,73,North America,chevrolet impala,chevrolet
103,12.0,8,400.0,167,4906,12.5,73,North America,ford country,ford
104,13.0,8,360.0,170,4654,13.0,73,North America,plymouth custom suburb,plymouth
105,12.0,8,350.0,180,4499,12.5,73,North America,oldsmobile vista cruiser,oldsmobile
106,18.0,6,232.0,100,2789,15.0,73,North America,amc gremlin,amc
107,20.0,4,97.0,88,2279,19.0,73,Asia,toyota carina,toyota
108,21.0,4,140.0,72,2401,19.5,73,North America,chevrolet vega,chevrolet
109,22.0,4,108.0,94,2379,16.5,73,Asia,datsun 610,datsun
110,18.0,3,70.0,90,2124,13.5,73,Asia,maxda rx3,mazda
111,19.0,4,122.0,85,2310,18.5,73,North America,ford pinto,ford
112,21.0,6,155.0,107,2472,14.0,73,North America,mercury capri v6,mercury
113,26.0,4,98.0,90,2265,15.5,73,Europe,fiat 124 sport coupe,fiat
114,15.0,8,350.0,145,4082,13.0,73,North America,chevrolet monte carlo s,chevrolet
115,16.0,8,400.0,230,4278,9.5,73,North America,pontiac grand prix,pontiac
116,29.0,4,68.0,49,1867,19.5,73,Europe,fiat 128,fiat
117,24.0,4,116.0,75,2158,15.5,73,Europe,opel manta,opel
118,20.0,4,114.0,91,2582,14.0,73,Europe,audi 100ls,audi
119,19.0,4,121.0,112,2868,15.5,73,Europe,volvo 144ea,volvo
120,15.0,8,318.0,150,3399,11.0,73,North America,dodge dart custom,dodge
121,24.0,4,121.0,110,2660,14.0,73,Europe,saab 99le,saab
122,20.0,6,156.0,122,2807,13.5,73,Asia,toyota mark ii,toyota
123,11.0,8,350.0,180,3664,11.0,73,North America,oldsmobile omega,oldsmobile
124,20.0,6,198.0,95,3102,16.5,74,North America,plymouth duster,plymouth
125,19.0,6,232.0,100,2901,16.0,74,North America,amc hornet,amc
126,15.0,6,250.0,100,3336,17.0,74,North America,chevrolet nova,chevrolet
127,31.0,4,79.0,67,1950,19.0,74,Asia,datsun b210,datsun
128,26.0,4,122.0,80,2451,16.5,74,North America,ford pinto,ford
129,32.0,4,71.0,65,1836,21.0,74,Asia,toyota corolla 1200,toyota
130,25.0,4,140.0,75,2542,17.0,74,North America,chevrolet vega,chevrolet
131,16.0,6,250.0,100,3781,17.0,74,North America,chevrolet chevelle malibu classic,chevrolet
132,16.0,6,258.0,110,3632,18.0,74,North America,amc matador,amc
133,18.0,6,225.0,105,3613,16.5,74,North America,plymouth satellite sebring,plymouth
134,16.0,8,302.0,140,4141,14.0,74,North America,ford gran torino,ford
135,13.0,8,350.0,150,4699,14.5,74,North America,buick century luxus (sw),buick
136,14.0,8,318.0,150,4457,13.5,74,North America,dodge coronet custom (sw),dodge
137,14.0,8,302.0,140,4638,16.0,74,North America,ford gran torino (sw),ford
138,14.0,8,304.0,150,4257,15.5,74,North America,amc matador (sw),amc
139,29.0,4,98.0,83,2219,16.5,74,Europe,audi fox,audi
140,26.0,4,79.0,67,1963,15.5,74,Europe,volkswagen dasher,volkswagen
141,26.0,4,97.0,78,2300,14.5,74,Europe,opel manta,opel
142,31.0,4,76.0,52,1649,16.5,74,Asia,toyota corona,toyota
143,32.0,4,83.0,61,2003,19.0,74,Asia,datsun 710,datsun
144,28.0,4,90.0,75,2125,14.5,74,North America,dodge colt,dodge
145,24.0,4,90.0,75,2108,15.5,74,Europe,fiat 128,fiat
146,26.0,4,116.0,75,2246,14.0,74,Europe,fiat 124 tc,fiat
147,24.0,4,120.0,97,2489,15.0,74,Asia,honda civic,honda
148,26.0,4,108.0,93,2391,15.5,74,Asia,subaru,subaru
149,31.0,4,79.0,67,2000,16.0,74,Europe,fiat x1.9,fiat
150,19.0,6,225.0,95,3264,16.0,75,North America,plymouth valiant custom,plymouth
151,18.0,6,250.0,105,3459,16.0,75,North America,chevrolet nova,chevrolet
152,15.0,6,250.0,72,3432,21.0,75,North America,mercury monarch,mercury
153,15.0,6,250.0,72,3158,19.5,75,North America,ford maverick,ford
154,16.0,8,400.0,170,4668,11.5,75,North America,pontiac catalina,pontiac
155,15.0,8,350.0,145,4440,14.0,75,North America,chevrolet bel air,chevrolet
156,16.0,8,318.0,150,4498,14.5,75,North America,plymouth grand fury,plymouth
157,14.0,8,351.0,148,4657,13.5,75,North America,ford ltd,ford
158,17.0,6,231.0,110,3907,21.0,75,North America,buick century,buick
159,16.0,6,250.0,105,3897,18.5,75,North America,chevroelt chevelle malibu,chevrolet
160,15.0,6,258.0,110,3730,19.0,75,North America,amc matador,amc
161,18.0,6,225.0,95,3785,19.0,75,North America,plymouth fury,plymouth
162,21.0,6,231.0,110,3039,15.0,75,North America,buick skyhawk,buick
163,20.0,8,262.0,110,3221,13.5,75,North America,chevrolet monza 2+2,chevrolet
164,13.0,8,302.0,129,3169,12.0,75,North America,ford mustang ii,ford
165,29.0,4,97.0,75,2171,16.0,75,Asia,toyota corolla,toyota
166,23.0,4,140.0,83,2639,17.0,75,North America,ford pinto,ford
167,20.0,6,232.0,100,2914,16.0,75,North America,amc gremlin,amc
168,23.0,4,140.0,78,2592,18.5,75,North America,pontiac astro,pontiac
169,24.0,4,134.0,96,2702,13.5,75,Asia,toyota corona,toyota
170,25.0,4,90.0,71,2223,16.5,75,Europe,volkswagen dasher,volkswagen
171,24.0,4,119.0,97,2545,17.0,75,Asia,datsun 710,datsun
172,18.0,6,171.0,97,2984,14.5,75,North America,ford pinto,ford
173,29.0,4,90.0,70,1937,14.0,75,Europe,volkswagen rabbit,volkswagen
174,19.0,6,232.0,90,3211,17.0,75,North America,amc pacer,amc
175,23.0,4,115.0,95,2694,15.0,75,Europe,audi 100ls,audi
176,23.0,4,120.0,88,2957,17.0,75,Europe,peugeot 504,peugeot
177,22.0,4,121.0,98,2945,14.5,75,Europe,volvo 244dl,volvo
178,25.0,4,121.0,115,2671,13.5,75,Europe,saab 99le,saab
179,33.0,4,91.0,53,1795,17.5,75,Asia,honda civic cvcc,honda
180,28.0,4,107.0,86,2464,15.5,76,Europe,fiat 131,fiat
181,25.0,4,116.0,81,2220,16.9,76,Europe,opel 1900,opel
182,25.0,4,140.0,92,2572,14.9,76,North America,capri ii,capri
183,26.0,4,98.0,79,2255,17.7,76,North America,dodge colt,dodge
184,27.0,4,101.0,83,2202,15.3,76,Europe,renault 12tl,renault
185,17.5,8,305.0,140,4215,13.0,76,North America,chevrolet chevelle malibu classic,chevrolet
186,16.0,8,318.0,150,4190,13.0,76,North America,dodge coronet brougham,dodge
187,15.5,8,304.0,120,3962,13.9,76,North America,amc matador,amc
188,14.5,8,351.0,152,4215,12.8,76,North America,ford gran torino,ford
189,22.0,6,225.0,100,3233,15.4,76,North America,plymouth valiant,plymouth
190,22.0,6,250.0,105,3353,14.5,76,North America,chevrolet nova,chevrolet
191,24.0,6,200.0,81,3012,17.6,76,North America,ford maverick,ford
192,22.5,6,232.0,90,3085,17.6,76,North America,amc hornet,amc
193,29.0,4,85.0,52,2035,22.2,76,North America,chevrolet chevette,chevrolet
194,24.5,4,98.0,60,2164,22.1,76,North America,chevrolet woody,chevrolet
195,29.0,4,90.0,70,1937,14.2,76,Europe,vw rabbit,volkswagen
196,33.0,4,91.0,53,1795,17.4,76,Asia,honda civic,honda
197,20.0,6,225.0,100,3651,17.7,76,North America,dodge aspen se,dodge
198,18.0,6,250.0,78,3574,21.0,76,North America,ford granada ghia,ford
199,18.5,6,250.0,110,3645,16.2,76,North America,pontiac ventura sj,pontiac
200,17.5,6,258.0,95,3193,17.8,76,North America,amc pacer d/l,amc
201,29.5,4,97.0,71,1825,12.2,76,Europe,volkswagen rabbit,volkswagen
202,32.0,4,85.0,70,1990,17.0,76,Asia,datsun b-210,datsun
203,28.0,4,97.0,75,2155,16.4,76,Asia,toyota corolla,toyota
204,26.5,4,140.0,72,2565,13.6,76,North America,ford pinto,ford
205,20.0,4,130.0,102,3150,15.7,76,Europe,volvo 245,volvo
206,13.0,8,318.0,150,3940,13.2,76,North America,plymouth volare premier v8,plymouth
207,19.0,4,120.0,88,3270,21.9,76,Europe,peugeot 504,peugeot
208,19.0,6,156.0,108,2930,15.5,76,Asia,toyota mark ii,toyota
209,16.5,6,168.0,120,3820,16.7,76,Europe,mercedes-benz 280s,mercedes
210,16.5,8,350.0,180,4380,12.1,76,North America,cadillac seville,cadillac
211,13.0,8,350.0,145,4055,12.0,76,North America,chevy c10,chevrolet
212,13.0,8,302.0,130,3870,15.0,76,North America,ford f108,ford
213,13.0,8,318.0,150,3755,14.0,76,North America,dodge d100,dodge
214,31.5,4,98.0,68,2045,18.5,77,Asia,honda accord cvcc,honda
215,30.0,4,111.0,80,2155,14.8,77,North America,buick opel isuzu deluxe,buick
216,36.0,4,79.0,58,1825,18.6,77,Europe,renault 5 gtl,renault
217,25.5,4,122.0,96,2300,15.5,77,North America,plymouth arrow gs,plymouth
218,33.5,4,85.0,70,1945,16.8,77,Asia,datsun f-10 hatchback,datsun
219,17.5,8,305.0,145,3880,12.5,77,North America,chevrolet caprice classic,chevrolet
220,17.0,8,260.0,110,4060,19.0,77,North America,oldsmobile cutlass supreme,oldsmobile
221,15.5,8,318.0,145,4140,13.7,77,North America,dodge monaco brougham,dodge
222,15.0,8,302.0,130,4295,14.9,77,North America,mercury cougar brougham,mercury
223,17.5,6,250.0,110,3520,16.4,77,North America,chevrolet concours,chevrolet
224,20.5,6,231.0,105,3425,16.9,77,North America,buick skylark,buick
225,19.0,6,225.0,100,3630,17.7,77,North America,plymouth volare custom,plymouth
226,18.5,6,250.0,98,3525,19.0,77,North America,ford granada,ford
227,16.0,8,400.0,180,4220,11.1,77,North America,pontiac grand prix lj,pontiac
228,15.5,8,350.0,170,4165,11.4,77,North America,chevrolet monte carlo landau,chevrolet
229,15.5,8,400.0,190,4325,12.2,77,North America,chrysler cordoba,chrysler
230,16.0,8,351.0,149,4335,14.5,77,North America,ford thunderbird,ford
231,29.0,4,97.0,78,1940,14.5,77,Europe,volkswagen rabbit custom,volkswagen
232,24.5,4,151.0,88,2740,16.0,77,North America,pontiac sunbird coupe,pontiac
233,26.0,4,97.0,75,2265,18.2,77,Asia,toyota corolla liftback,toyota
234,25.5,4,140.0,89,2755,15.8,77,North America,ford mustang ii 2+2,ford
235,30.5,4,98.0,63,2051,17.0,77,North America,chevrolet chevette,chevrolet
236,33.5,4,98.0,83,2075,15.9,77,North America,dodge colt m/m,dodge
237,30.0,4,97.0,67,1985,16.4,77,Asia,subaru dl,subaru
238,30.5,4,97.0,78,2190,14.1,77,Europe,volkswagen dasher,volkswagen
239,22.0,6,146.0,97,2815,14.5,77,Asia,datsun 810,datsun
240,21.5,4,121.0,110,2600,12.8,77,Europe,bmw 320i,bmw
241,21.5,3,80.0,110,2720,13.5,77,Asia,mazda rx-4,mazda
242,43.1,4,90.0,48,1985,21.5,78,Europe,volkswagen rabbit custom diesel,volkswagen
243,36.1,4,98.0,66,1800,14.4,78,North America,ford fiesta,ford
244,32.8,4,78.0,52,1985,19.4,78,Asia,mazda glc deluxe,mazda
245,39.4,4,85.0,70,2070,18.6,78,Asia,datsun b210 gx,datsun
246,36.1,4,91.0,60,1800,16.4,78,Asia,honda civic cvcc,honda
247,19.9,8,260.0,110,3365,15.5,78,North America,oldsmobile cutlass salon brougham,oldsmobile
248,19.4,8,318.0,140,3735,13.2,78,North America,dodge diplomat,dodge
249,20.2,8,302.0,139,3570,12.8,78,North America,mercury monarch ghia,mercury
250,19.2,6,231.0,105,3535,19.2,78,North America,pontiac phoenix lj,pontiac
251,20.5,6,200.0,95,3155,18.2,78,North America,chevrolet malibu,chevrolet
252,20.2,6,200.0,85,2965,15.8,78,North America,ford fairmont (auto),ford
253,25.1,4,140.0,88,2720,15.4,78,North America,ford fairmont (man),ford
254,20.5,6,225.0,100,3430,17.2,78,North America,plymouth volare,plymouth
255,19.4,6,232.0,90,3210,17.2,78,North America,amc concord,amc
256,20.6,6,231.0,105,3380,15.8,78,North America,buick century special,buick
257,20.8,6,200.0,85,3070,16.7,78,North America,mercury zephyr,mercury
258,18.6,6,225.0,110,3620,18.7,78,North America,dodge aspen,dodge
259,18.1,6,258.0,120,3410,15.1,78,North America,amc concord d/l,amc
260,19.2,8,305.0,145,3425,13.2,78,North America,chevrolet monte carlo landau,chevrolet
261,17.7,6,231.0,165,3445,13.4,78,North America,buick regal sport coupe (turbo),buick
262,18.1,8,302.0,139,3205,11.2,78,North America,ford futura,ford
263,17.5,8,318.0,140,4080,13.7,78,North America,dodge magnum xe,dodge
264,30.0,4,98.0,68,2155,16.5,78,North America,chevrolet chevette,chevrolet
265,27.5,4,134.0,95,2560,14.2,78,Asia,toyota corona,toyota
266,27.2,4,119.0,97,2300,14.7,78,Asia,datsun 510,datsun
267,30.9,4,105.0,75,2230,14.5,78,North America,dodge omni,dodge
268,21.1,4,134.0,95,2515,14.8,78,Asia,toyota celica gt liftback,toyota
269,23.2,4,156.0,105,2745,16.7,78,North America,plymouth sapporo,plymouth
270,23.8,4,151.0,85,2855,17.6,78,North America,oldsmobile starfire sx,oldsmobile
271,23.9,4,119.0,97,2405,14.9,78,Asia,datsun 200-sx,datsun
272,20.3,5,131.0,103,2830,15.9,78,Europe,audi 5000,audi
273,17.0,6,163.0,125,3140,13.6,78,Europe,volvo 264gl,volvo
274,21.6,4,121.0,115,2795,15.7,78,Europe,saab 99gle,saab
275,16.2,6,163.0,133,3410,15.8,78,Europe,peugeot 604sl,peugeot
276,31.5,4,89.0,71,1990,14.9,78,Europe,volkswagen scirocco,volkswagen
277,29.5,4,98.0,68,2135,16.6,78,Asia,honda accord lx,honda
278,21.5,6,231.0,115,3245,15.4,79,North America,pontiac lemans v6,pontiac
279,19.8,6,200.0,85,2990,18.2,79,North America,mercury zephyr 6,mercury
280,22.3,4,140.0,88,2890,17.3,79,North America,ford fairmont 4,ford
281,20.2,6,232.0,90,3265,18.2,79,North America,amc concord dl 6,amc
282,20.6,6,225.0,110,3360,16.6,79,North America,dodge aspen 6,dodge
283,17.0,8,305.0,130,3840,15.4,79,North America,chevrolet caprice classic,chevrolet
284,17.6,8,302.0,129,3725,13.4,79,North America,ford ltd landau,ford
285,16.5,8,351.0,138,3955,13.2,79,North America,mercury grand marquis,mercury
286,18.2,8,318.0,135,3830,15.2,79,North America,dodge st. regis,dodge
287,16.9,8,350.0,155,4360,14.9,79,North America,buick estate wagon (sw),buick
288,15.5,8,351.0,142,4054,14.3,79,North America,ford country squire (sw),ford
289,19.2,8,267.0,125,3605,15.0,79,North America,chevrolet malibu classic (sw),chevrolet
290,18.5,8,360.0,150,3940,13.0,79,North America,chrysler lebaron town @ country (sw),chrysler
291,31.9,4,89.0,71,1925,14.0,79,Europe,vw rabbit custom,volkswagen
292,34.1,4,86.0,65,1975,15.2,79,Asia,maxda glc deluxe,mazda
293,35.7,4,98.0,80,1915,14.4,79,North America,dodge colt hatchback custom,dodge
294,27.4,4,121.0,80,2670,15.0,79,North America,amc spirit dl,amc
295,25.4,5,183.0,77,3530,20.1,79,Europe,mercedes benz 300d,mercedes
296,23.0,8,350.0,125,3900,17.4,79,North America,cadillac eldorado,cadillac
297,27.2,4,141.0,71,3190,24.8,79,Europe,peugeot 504,peugeot
298,23.9,8,260.0,90,3420,22.2,79,North America,oldsmobile cutlass salon brougham,oldsmobile
299,34.2,4,105.0,70,2200,13.2,79,North America,plymouth horizon,plymouth
300,34.5,4,105.0,70,2150,14.9,79,North America,plymouth horizon tc3,plymouth
301,31.8,4,85.0,65,2020,19.2,79,Asia,datsun 210,datsun
302,37.3,4,91.0,69,2130,14.7,79,Europe,fiat strada custom,fiat
303,28.4,4,151.0,90,2670,16.0,79,North America,buick skylark limited,buick
304,28.8,6,173.0,115,2595,11.3,79,North America,chevrolet citation,chevrolet
305,26.8,6,173.0,115,2700,12.9,79,North America,oldsmobile omega brougham,oldsmobile
306,33.5,4,151.0,90,2556,13.2,79,North America,pontiac phoenix,pontiac
307,41.5,4,98.0,76,2144,14.7,80,Europe,vw rabbit,volkswagen
308,38.1,4,89.0,60,1968,18.8,80,Asia,toyota corolla tercel,toyota
309,32.1,4,98.0,70,2120,15.5,80,North America,chevrolet chevette,chevrolet
310,37.2,4,86.0,65,2019,16.4,80,Asia,datsun 310,datsun
311,28.0,4,151.0,90,2678,16.5,80,North America,chevrolet citation,chevrolet
312,26.4,4,140.0,88,2870,18.1,80,North America,ford fairmont,ford
313,24.3,4,151.0,90,3003,20.1,80,North America,amc concord,amc
314,19.1,6,225.0,90,3381,18.7,80,North America,dodge aspen,dodge
315,34.3,4,97.0,78,2188,15.8,80,Europe,audi 4000,audi
316,29.8,4,134.0,90,2711,15.5,80,Asia,toyota corona liftback,toyota
317,31.3,4,120.0,75,2542,17.5,80,Asia,mazda 626,mazda
318,37.0,4,119.0,92,2434,15.0,80,Asia,datsun 510 hatchback,datsun
319,32.2,4,108.0,75,2265,15.2,80,Asia,toyota corolla,toyota
320,46.6,4,86.0,65,2110,17.9,80,Asia,mazda glc,mazda
321,27.9,4,156.0,105,2800,14.4,80,North America,dodge colt,dodge
322,40.8,4,85.0,65,2110,19.2,80,Asia,datsun 210,datsun
323,44.3,4,90.0,48,2085,21.7,80,Europe,vw rabbit c (diesel),volkswagen
324,43.4,4,90.0,48,2335,23.7,80,Europe,vw dasher (diesel),volkswagen
325,36.4,5,121.0,67,2950,19.9,80,Europe,audi 5000s (diesel),audi
326,30.0,4,146.0,67,3250,21.8,80,Europe,mercedes-benz 240d,mercedes
327,44.6,4,91.0,67,1850,13.8,80,Asia,honda civic 1500 gl,honda
328,33.8,4,97.0,67,2145,18.0,80,Asia,subaru dl,subaru
329,29.8,4,89.0,62,1845,15.3,80,Europe,vokswagen rabbit,volkswagen
330,32.7,6,168.0,132,2910,11.4,80,Asia,datsun 280-zx,datsun
331,23.7,3,70.0,100,2420,12.5,80,Asia,mazda rx-7 gs,mazda
332,35.0,4,122.0,88,2500,15.1,80,Europe,triumph tr7 coupe,triumph
333,32.4,4,107.0,72,2290,17.0,80,Asia,honda accord,honda
334,27.2,4,135.0,84,2490,15.7,81,North America,plymouth reliant,plymouth
335,26.6,4,151.0,84,2635,16.4,81,North America,buick skylark,buick
336,25.8,4,156.0,92,2620,14.4,81,North America,dodge aries wagon (sw),dodge
337,23.5,6,173.0,110,2725,12.6,81,North America,chevrolet citation,chevrolet
338,30.0,4,135.0,84,2385,12.9,81,North America,plymouth reliant,plymouth
339,39.1,4,79.0,58,1755,16.9,81,Asia,toyota starlet,toyota
340,39.0,4,86.0,64,1875,16.4,81,North America,plymouth champ,plymouth
341,35.1,4,81.0,60,1760,16.1,81,Asia,honda civic 1300,honda
342,32.3,4,97.0,67,2065,17.8,81,Asia,subaru,subaru
343,37.0,4,85.0,65,1975,19.4,81,Asia,datsun 210 mpg,datsun
344,37.7,4,89.0,62,2050,17.3,81,Asia,toyota tercel,toyota
345,34.1,4,91.0,68,1985,16.0,81,Asia,mazda glc 4,mazda
346,34.7,4,105.0,63,2215,14.9,81,North America,plymouth horizon 4,plymouth
347,34.4,4,98.0,65,2045,16.2,81,North America,ford escort 4w,ford
348,29.9,4,98.0,65,2380,20.7,81,North America,ford escort 2h,ford
349,33.0,4,105.0,74,2190,14.2,81,Europe,volkswagen jetta,volkswagen
350,33.7,4,107.0,75,2210,14.4,81,Asia,honda prelude,honda
351,32.4,4,108.0,75,2350,16.8,81,Asia,toyota corolla,toyota
352,32.9,4,119.0,100,2615,14.8,81,Asia,datsun 200sx,datsun
353,31.6,4,120.0,74,2635,18.3,81,Asia,mazda 626,mazda
354,28.1,4,141.0,80,3230,20.4,81,Europe,peugeot 505s turbo diesel,peugeot
